시도명,시군구명,manager_count
서울특별시,종로구,0
서울특별시,중구,0
서울특별시,용산구,0
서울특별시,성동구,0
서울특별시,광진구,0
서울특별시,동대문구,0
서울특별시,중랑구,0
서울특별시,성북구,0
서울특별시,강북구,0
서울특별시,도봉구,0
서울특별시,노원구,0
서울특별시,은평구,0
서울특별시,서대문구,0
서울특별시,마포구,0
서울특별시,양천구,0
서울특별시,강서구,0
서울특별시,구로구,0
서울특별시,금천구,0
서울특별시,영등포구,0
서울특별시,동작구,0
서울특별시,관악구,0
서울특별시,서초구,0
서울특별시,강남구,0
서울특별시,송파구,0
서울특별시,강동구,0
경기도,수원시,0
경기도,성남시,0
경기도,의정부시,0
경기도,안양시,0
경기도,부천시,0
경기도,광명시,0
경기도,평택시,0
경기도,동두천시,0
경기도,안산시,0
경기도,고양시,0
경기도,과천시,0
경기도,구리시,0
경기도,남양주시,0
경기도,오산시,0
경기도,시흥시,0
경기도,군포시,0
경기도,의왕시,0
경기도,하남시,0
경기도,용인시,0
경기도,파주시,0
경기도,이천시,0
경기도,안성시,0
경기도,김포시,0
경기도,화성시,0
경기도,광주시,0
경기도,양주시,0
경기도,포천시,0
경기도,여주시,0
경기도,연천군,0
경기도,가평군,0
경기도,양평군,0
